music hall;Общая площадь (кв.м);float;
music hall;Рабочая площадь (площадь зала) (кв.м);float
music hall;Вместимость (чел.);int
music hall;Наличие оборудование (да/нет, какое уже списком);string
music hall;Наличие персонала (да/нет, какой - списком);string
music hall;Наличие гримёрки (да/нет, сколько);string
music hall;Наличие других или дополнительных залов (да/нет, сколько);string
music hall;Наличие парковки (да/нет, на сколько мест);bool
music hall;Характеристики электроподключения;string
music hall;Характеристики интернета;string
library;Специализация (универсальная, научная, детская, взрослая, специализированная);string
library;Общая площадь (км.м);float
library;Площадь читального зала (кв.м);float
library;Вместимость (чел.);int
library;Объем фонда (единиц хранения);int
library;Количество доступных периодических изданий (единиц);int
library;Наличие электронного каталога (да/нет);bool
library;Наличие абонемента (да/нет);bool
library;Наличие дополнительных услуг (да/нет, какие-списком);string
library;Возможность проводить мероприятия (да/нет, какие-списком);string
recording studio;Общая площадь (кв.м);float
recording studio;Рабочая площадь (кв.м);float
recording studio;Вместимость (чел.);int
recording studio;Наличие персонала (да/нет, какой - списком) например звукорежиссёра/звукоинженера;string
recording studio;Количество залов (сколько, какие), например, тон-зал, контрольная, аппаратная, для вокалиста;string
recording studio;Наличие крупногабаритных инструментов (рояль, арфа, контрабас, оргАн);string
recording studio;Характеристики оборудования в студии;string
